,pressure,enthalpy,flow,outlet_pressure,outlet_enthalpy
0,51325.0,2000.0,4000.0,142279636.86382252,4777.777777777777
1,55172.7,4000.0,6000.0,93001242.15324289,5851.851851851852
2,59020.4,3000.0,8000.0,69889848.27376972,4388.888888888889
3,62868.1,5000.0,4666.666666666667,119279958.42869215,7380.952380952381
4,66715.8,2500.0,6666.666666666666,84310721.38425548,4166.666666666667
5,70563.5,4500.0,8666.666666666666,63858613.251473285,5782.051282051282
6,74411.2,3500.0,5333.333333333333,105198781.65581094,5583.333333333333
7,78258.9,5500.0,7333.333333333334,75062326.86386268,7015.151515151515
8,82106.6,2250.0,9333.333333333332,60046244.305246286,3440.4761904761904
9,85954.29999999999,4250.0,4222.222222222223,132866398.2487023,6881.578947368421
10,89802.0,3250.0,6222.222222222223,90085355.15836015,5035.714285714285
11,93649.7,5250.0,8222.222222222223,67001501.64544719,6601.351351351352
12,97497.4,2750.0,4888.888888888889,115483906.07450463,5022.727272727272
13,101345.1,4750.0,6888.888888888889,80456291.58883275,6362.903225806452
14,105192.8,3750.0,8888.888888888887,62592925.910614535,5000.0
15,109040.5,5750.0,5555.555555555556,99326606.82382403,7750.0
16,112888.20000000001,2125.0,7555.555555555555,74436999.52868828,3595.5882352941176
17,116735.9,4125.0,9555.555555555555,58055572.292987436,5287.790697674419
18,120583.59999999999,3125.0,4444.444444444444,127037372.72813132,5625.0
19,124431.3,5125.0,6444.444444444444,85868674.38307588,6849.137931034483
20,128279.0,2625.0,8444.444444444445,66369823.55588444,3940.7894736842104
21,132126.7,4625.0,5111.111111111111,109090367.74949342,6798.913043478261
22,135974.4,3625.0,7111.111111111111,78540738.6580957,5187.500000000001
23,139822.09999999998,5625.0,9111.11111111111,60267818.38228896,6844.512195121952
24,143669.8,2375.0,5777.777777777777,97652166.05084668,4298.076923076923
25,147517.5,4375.0,7777.777777777777,71389087.85873626,5803.571428571428
26,151365.2,3375.0,9777.777777777777,57026854.93430365,4511.363636363637
27,155212.9,5375.0,4074.074074074074,136732030.67101684,8102.272727272726
28,159060.6,2875.0,6074.074074074074,92587495.7770645,4704.268292682927
29,162908.3,4875.0,8074.074074074073,68510972.68948004,6251.146788990825
30,166756.0,3875.0,4740.740740740741,118430701.18454018,6218.749999999999
31,170603.7,5875.0,6740.740740740741,81601700.30046593,7523.351648351649
32,174451.40000000002,2062.5,8740.74074074074,64312014.167983495,3333.686440677966
33,178299.1,4062.5,5407.407407407407,103464398.6238286,6117.2945205479455
34,182146.8,3062.5,7407.407407407408,75658685.94991751,4562.5
35,185994.5,5062.5,9407.407407407409,58657606.818561584,6243.602362204724
36,189842.19999999998,2562.5,4296.2962962962965,132007994.50103155,5148.706896551724
37,193689.9,4562.5,6296.296296296296,88358143.4807725,6327.205882352941
38,197537.6,3562.5,8296.296296296296,67287183.29813121,4901.785714285715
39,201385.3,5562.5,4962.962962962963,111677156.71162957,7801.305970149254
40,205233.0,2312.5,6962.962962962963,80888149.77868776,3908.2446808510635
41,209080.7,4312.5,8962.962962962964,61948580.98404306,5552.169421487603
42,212928.40000000002,3312.5,5629.62962962963,99824837.8662891,5286.184210526316
43,216776.09999999998,5312.5,7629.62962962963,72361651.91657686,6768.810679611651
44,220623.8,2812.5,9629.62962962963,58163472.11842252,3966.346153846154
45,224471.5,4812.5,4518.518518518518,123618484.42625646,7271.516393442623
46,228319.19999999998,3812.5,6518.518518518518,85776952.84059824,5517.045454545455
47,232166.9,5812.5,8518.518518518518,64499059.566034414,7116.847826086957
48,236014.6,2187.5,5185.185185185185,109219976.78534417,4330.357142857143
49,239862.30000000002,4187.5,7185.185185185184,77545280.12875278,5733.8917525773195
50,243710.0,3187.5,9185.185185185184,60900290.5967256,4397.177419354839
51,247557.69999999998,5187.5,5851.851851851852,94785337.58324997,7086.23417721519
52,251405.4,2687.5,7851.851851851852,71543366.97479996,4102.594339622641
53,255253.1,4687.5,9851.85185185185,56217823.41905543,5815.319548872181
54,259100.8,3687.5,4148.148148148148,135990824.01033399,6366.071428571428
55,262948.5,5687.5,6148.148148148148,89814778.79195568,7494.72891566265
56,266796.2,2437.5,8148.148148148148,69017814.66166289,3801.136363636364
57,270643.9,4437.5,4814.814814814815,116235746.1929318,6745.192307692307
58,274491.6,3437.5,6814.814814814815,82240445.86422521,5067.934782608696
59,278339.3,5437.5,8814.814814814814,62549537.917898946,6698.004201680673
60,282187.0,2937.5,5481.481481481482,102863319.0613328,4964.527027027027
61,286034.69999999995,4937.5,7481.481481481482,74093339.56410192,6422.648514851485
62,289882.4,3937.5,9481.481481481482,58763681.136875294,5109.375
63,293730.1,5937.5,4370.37037037037,126837221.73568691,8479.872881355932
64,297577.80000000005,2031.25,6370.37037037037,88732505.97242188,3775.436046511628
65,301425.5,4031.25,8370.37037037037,66595566.57927793,5358.683628318584
66,305273.2,3031.25,5037.0370370370365,112063732.65970057,5237.132352941177
67,309120.9,5031.25,7037.037037037037,78791743.9951426,6610.197368421053
68,312968.6,2531.25,9037.037037037036,62192458.060675524,3760.758196721312
69,316816.30000000005,4531.25,5703.7037037037035,97831807.6202997,6479.301948051949
70,320664.0,3531.25,7703.7037037037035,72660469.34581894,4973.557692307692
71,324511.69999999995,5531.25,9703.703703703704,56789024.67964638,6676.288167938931
72,328359.39999999997,2281.25,4592.592592592593,123642161.14685886,4700.604838709677
73,332207.1,4281.25,6592.592592592593,84645222.82865864,5966.643258426966
74,336054.8,3281.25,8592.592592592591,65196556.760066785,4574.353448275862
75,339902.5,5281.25,5259.259259259259,105660174.04831117,7393.926056338028
76,343750.2,2781.25,7259.259259259259,77507723.3544243,4311.862244897959
77,347597.9,4781.25,9259.25925925926,59895052.83990246,5981.250000000001
78,351445.6,3781.25,5925.925925925926,94628212.59945747,5656.249999999999
79,355293.3,5781.25,7925.925925925926,69512654.95441242,7183.119158878505
80,359141.0,2156.25,9925.925925925925,56733949.07488094,3275.652985074627
81,362988.7,4156.25,4024.6913580246915,139926278.73971668,6916.986196319019
82,366836.4,3156.25,6024.691358024691,93427677.49746047,5000.512295081968
83,370684.10000000003,5156.25,8024.691358024691,69006594.79530086,6540.865384615385
84,374531.80000000005,2656.25,4691.358024691358,120802551.27509592,5024.671052631579
85,378379.5,4656.25,6691.358024691358,83210170.83083405,6316.766605166052
86,382227.19999999995,3656.25,8691.358024691357,64354053.48700051,4934.659090909091
87,386074.89999999997,5656.25,5358.024691358025,103423198.37502114,7729.982718894009
88,389922.6,2406.25,7358.024691358025,76649492.74819264,3916.3171140939594
89,393770.3,4406.25,9358.024691358023,59464810.87796105,5593.585092348286
90,397618.0,3406.25,4246.913580246914,133146037.91718194,6022.529069767442
91,401465.7,5406.25,6246.913580246914,88720265.87308745,7184.906126482213
92,405313.39999999997,2906.25,8246.913580246914,68164329.59961356,4253.555389221557
93,409161.1,4906.25,4913.580246913581,113616334.9057338,7167.556532663317
94,413008.8,3906.25,6913.58024691358,80958568.2436604,5513.392857142858
95,416856.5,5906.25,8913.580246913578,61760489.438180186,7152.787396121885
96,420704.2,2093.75,5580.246913580247,101596505.83340918,4084.9004424778764
97,424551.9,4093.75,7580.246913580247,73698849.35556398,5559.548045602606
98,428399.60000000003,3093.75,9580.246913580246,58591298.06260698,4253.54381443299
99,432247.30000000005,5093.75,4469.135802469135,124967450.37616906,7579.937845303868
100,436095.0,2593.75,6469.135802469135,87269363.51602617,4311.307251908397
101,439942.7,4593.75,8469.135802469136,65703384.31203387,5905.703352769679
102,443790.39999999997,3593.75,5135.802469135802,109646871.08250922,5757.211538461538
103,447638.1,5593.75,7135.802469135802,77494555.11671081,7150.843425605537
104,451485.8,2343.75,9135.8024691358,61712864.580598556,3559.9662162162163
105,455333.5,4343.75,5802.469135802468,96415406.37253219,6258.643617021276
106,459181.2,3343.75,7802.469135802469,71956182.5754376,4767.800632911392
107,463028.89999999997,5343.75,9802.469135802468,56439709.02048077,6477.251259445844
108,466876.6,2843.75,4098.765432098766,138595553.50473127,5554.593373493975
109,470724.3,4843.75,6098.765432098766,91364684.00761595,6665.612348178138
110,474572.0,3843.75,8098.765432098765,69110670.85298665,5215.701219512195
111,478419.7,5843.75,4765.432098765432,116420036.74069363,8175.356217616581
112,482267.4,2218.75,6765.432098765432,83606606.64574406,3861.0857664233577
113,486115.10000000003,4218.75,8765.432098765432,63683161.761065744,5486.355633802817
114,489962.8,3218.75,5432.098765432099,103864191.80896735,5264.204545454546
115,493810.5,5218.75,7432.0987654321,74647719.2901472,6713.76661129568
116,497658.2,2718.75,9432.0987654321,59704959.90342086,3896.760471204189
117,501505.9,4718.75,4320.9876543209875,129770561.41110665,7290.178571428571
118,505353.6,3718.75,6320.9876543209875,88836288.06950517,5476.5625
119,509201.3,5718.75,8320.987654320987,66381430.14595596,7054.061572700297
120,513049.0,2468.75,4987.6543209876545,113759565.43869737,4696.472772277228
121,516896.7,4468.75,6987.6543209876545,79896709.56545831,6058.856007067138
122,520744.39999999997,3468.75,8987.654320987655,62433539.107236445,4705.013736263736
123,524592.1,5468.75,5654.320987654321,98221882.25229654,7433.815502183406
124,528439.8,2968.75,7654.320987654321,73586815.8195113,4420.362903225807
125,532287.5,4968.75,9654.32098765432,57542868.315350026,6119.645140664961
126,536135.2,3968.75,4543.20987654321,123999139.13473529,6414.402173913043
127,539982.9,5968.75,6543.209876543209,84418719.12110467,7666.8632075471705
128,543830.6000000001,2015.625,8543.20987654321,66208868.90383877,3316.203034682081
129,547678.3,4015.625,5209.876543209876,107878891.43462273,6148.326421800948
130,551526.0,3015.625,7209.876543209875,78161028.56289342,4556.720890410958
131,555373.7,5015.625,9209.876543209875,60328337.54199996,6222.059316353888
132,559221.4,2515.625,5876.543209876543,96351008.8132224,4406.381302521008
133,563069.1000000001,4515.625,7876.543209876543,70845326.13667826,5926.283307210032
134,566916.8,3515.625,9876.543209876541,56832322.84988167,4640.625
135,570764.5,5515.625,4172.83950617284,133720288.11552896,8178.346893491124
136,574612.2,2265.625,6172.839506172839,91802437.14432275,4065.625
137,578459.9,4265.625,8172.839506172839,68398439.8758814,5625.141616314199
138,582307.6000000001,3265.625,4839.506172839507,116852940.4700483,5561.543367346939
139,586155.3,5265.625,6839.506172839506,81235984.3308883,6890.173736462094
140,590003.0,2765.625,8839.506172839505,63803445.21238454,4022.608240223464
141,593850.7,4765.625,5506.172839506173,101513381.65722533,6783.562219730941
142,597698.3999999999,3765.625,7506.172839506173,74770029.93157418,5245.888157894738
143,601546.1,5765.625,9506.172839506173,58151671.81550424,6934.456168831169
144,605393.7999999999,2140.625,4395.061728395061,129697946.13147257,4668.714887640449
145,609241.5,4140.625,6395.061728395061,87664060.38781139,5878.076737451738
146,613089.2,3140.625,8395.061728395061,67081953.674863614,4464.154411764706
147,616936.9,5140.625,5061.728395061728,110262640.91194154,7335.746951219513
148,620784.6,2640.625,7061.728395061728,80045101.48586665,4214.051573426573
149,624632.2999999999,4640.625,9061.728395061727,61556137.859831095,5866.783038147139
150,628480.0,3640.625,5728.395061728395,98315115.70789728,5580.280172413793
151,632327.7,5640.625,7728.395061728395,71673063.8093605,7078.324680511182
152,636175.4,2390.625,9728.395061728395,58115845.66433715,3532.7569796954313
153,640023.1,4390.625,4617.283950617284,121734297.56608835,6797.042112299465
154,643870.8,3390.625,6617.283950617284,85134643.18679741,5069.729477611941
155,647718.5,5390.625,8617.283950617282,64399924.29139909,6680.023280802292
156,651566.2,2890.625,5283.95061728395,107189429.16412699,4993.428738317757
157,655413.9,4890.625,7283.95061728395,76533846.289317,6416.04872881356
158,659261.6,3890.625,9283.95061728395,60420908.561650366,5087.433510638298
159,663109.3,5890.625,5950.617283950617,93103005.33504608,7757.844917012449
